Vector size,Num iterations,Time (linear),Time (random)
8,1073741824,1.574969,1.573396
16,1073741824,1.570941,1.569008
32,1073741824,1.574031,1.567881
64,1073741824,1.575609,1.586308
128,1073741824,1.572526,1.567929
256,1073741824,1.568973,1.567141
512,1073741824,1.572965,1.574613
1024,1073741824,1.565096,1.574578
2048,1073741824,1.572859,1.574283
4096,1073741824,1.577582,1.628817
8192,1073741824,1.603156,2.766792
16384,1073741824,1.598449,2.272047
32768,1073741824,1.600646,3.753109
65536,1073741824,1.601468,7.794626
131072,1073741824,1.601686,9.781408
262144,1073741824,1.610819,10.891666
524288,1073741824,1.633801,18.178903
1048576,1073741824,1.650089,50.262790
2097152,1073741824,1.655839,67.102694
4194304,1073741824,1.661507,75.419004
8388608,1073741824,1.656527,80.280367
16777216,1073741824,1.698882,86.898329
33554432,1073741824,1.680756,90.269398
67108864,1073741824,1.680601,93.265045
134217728,1073741824,1.662034,104.397097
268435456,1073741824,1.675328,104.029638
536870912,1073741824,1.642737,133.785080
